Entity,Code,Year,Sugar cane
Brazil,BRA,1961,59377390
Brazil,BRA,1962,62534510
Brazil,BRA,1963,63722896
Brazil,BRA,1964,66398976
Brazil,BRA,1965,75852860
Brazil,BRA,1966,75787520
Brazil,BRA,1967,77086530
Brazil,BRA,1968,76610500
Brazil,BRA,1969,75247090
Brazil,BRA,1970,79752940
Brazil,BRA,1971,80380400
Brazil,BRA,1972,85106220
Brazil,BRA,1973,91994030
Brazil,BRA,1974,95623680
Brazil,BRA,1975,91524560
Brazil,BRA,1976,103173460
Brazil,BRA,1977,120081700
Brazil,BRA,1978,129144940
Brazil,BRA,1979,138898880
Brazil,BRA,1980,148650560
Brazil,BRA,1981,155924110
Brazil,BRA,1982,186646610
Brazil,BRA,1983,216036960
Brazil,BRA,1984,222317840
Brazil,BRA,1985,247199470
Brazil,BRA,1986,238443000
Brazil,BRA,1987,268504000
Brazil,BRA,1988,258294000
Brazil,BRA,1989,252290000
Brazil,BRA,1990,262674140
Brazil,BRA,1991,260887890
Brazil,BRA,1992,271474880
Brazil,BRA,1993,244530700
Brazil,BRA,1994,292101820
Brazil,BRA,1995,303699500
Brazil,BRA,1996,317106000
Brazil,BRA,1997,331612670
Brazil,BRA,1998,345254980
Brazil,BRA,1999,333847700
Brazil,BRA,2000,326121020
Brazil,BRA,2001,344292930
Brazil,BRA,2002,364389400
Brazil,BRA,2003,396012160
Brazil,BRA,2004,415205820
Brazil,BRA,2005,422956640
Brazil,BRA,2006,477410660
Brazil,BRA,2007,549707300
Brazil,BRA,2008,645300160
Brazil,BRA,2009,691606140
Brazil,BRA,2010,717463800
Brazil,BRA,2011,734006100
Brazil,BRA,2012,721077300
Brazil,BRA,2013,768090430
Brazil,BRA,2014,736108500
Brazil,BRA,2015,750290300
Brazil,BRA,2016,768594200
Brazil,BRA,2017,758646200
Brazil,BRA,2018,747556800
Brazil,BRA,2019,753470460
Brazil,BRA,2020,756070600
Brazil,BRA,2021,715679300
Brazil,BRA,2022,724428160
China,CHN,1961,4268100
China,CHN,1962,3443000
China,CHN,1963,7801500
China,CHN,1964,12160800
China,CHN,1965,13390000
China,CHN,1966,11408200
China,CHN,1967,12640300
China,CHN,1968,10341000
China,CHN,1969,10496900
China,CHN,1970,13457000
China,CHN,1971,13138700
China,CHN,1972,16416300
China,CHN,1973,16964608
China,CHN,1974,16432400
China,CHN,1975,16667000
China,CHN,1976,16630000
China,CHN,1977,17753008
China,CHN,1978,21117008
China,CHN,1979,21508000
China,CHN,1980,22807008
China,CHN,1981,29668000
China,CHN,1982,36882000
China,CHN,1983,31141344
China,CHN,1984,39519010
China,CHN,1985,51549150
China,CHN,1986,50219010
China,CHN,1987,47363010
China,CHN,1988,49064000
China,CHN,1989,48794704
China,CHN,1990,57620144
